leverage,terminal_multiple,cagr,vol,sharpe_naive,max_drawdown,calmar,ulcer_index,worst_day,longest_underwater_days,wiped_out,rebalance,interest_paid,interest_pct_of_start,monthly_contribution,liquidation_cost,margin_calls,rebalances,traded_notional,rebalance_cost_paid,ruin_day,ruin_deficit,terminal_net_equity,withdrawals_paid,withdrawal_failures,final_leverage,max_leverage_reached,episode,schedule,start,end
1.0,0.9120261382620213,-0.3081226062845769,0.6311487164925369,-0.48819335005051906,-0.3094754267514451,-0.9956286659620482,14.705013649462481,-0.15353688199036153,51,False,monthly,0.0,0.0,0.0,0.0,0,3,0.0,0.0,-1,0.0,91202.61382620213,0.0,0,1.0,1.0,covid crash,monthly,2020-02-03,2020-05-01
1.25,0.883937430785936,-0.3894993947391716,0.8217977034212561,-0.47396018888545494,-0.3820207477735329,-1.0195765465860827,18.31310115558266,-0.1986034420831415,51,False,monthly,133.73006782443375,0.0013373006782443375,0.0,0.0,0,3,6138.673245517013,1.2277346491034027,-1,0.0,88393.7430785936,0.0,0,1.2221205545120497,1.3755224911272306,covid crash,monthly,2020-02-03,2020-05-01
1.5,0.8540289941361413,-0.46802593411393945,1.032973352776139,-0.45308616418430275,-0.45250856895414615,-1.0342918703079096,21.87783956003081,-0.24691106934603657,51,False,monthly,264.75231748337313,0.0026475231748337314,0.0,0.0,0,3,14686.536887344744,2.9373073774689487,-1,0.0,85402.89941361413,0.0,0,1.434549118260593,1.8348821745302673,covid crash,monthly,2020-02-03,2020-05-01
1.75,0.8223295249981709,-0.5427186029244373,1.2712621790812542,-0.42691319843768344,-0.5209899949501643,-1.0417063824351396,25.400955327741777,-0.2988224384784003,51,False,monthly,393.0920943047855,0.003930920943047855,0.0,0.0,0,3,25619.700851648508,5.123940170329702,-1,0.0,82232.9524998171,0.0,0,1.637906496503082,2.4096824348559656,covid crash,monthly,2020-02-03,2020-05-01
2.0,0.788875661469295,-0.6127118317812252,1.5467864408085454,-0.3961192156953127,-0.5875122884471113,-1.0428919425680785,28.88374668119447,-0.3547564316731202,51,False,monthly,517.8556382757162,0.005178556382757162,0.0,0.0,0,3,38912.300683143636,7.782460136628728,-1,0.0,78887.5661469295,0.0,0,1.8327615832527855,3.1496937638740743,covid crash,monthly,2020-02-03,2020-05-01
2.25,0.7444215886624883,-0.6929028134204093,1.8616624118656764,-0.3721957369950938,-0.6521055977838763,-1.062562284045987,32.70283173253275,-0.41517656986788565,51,False,monthly,617.7150235579151,0.006177150235579151,0.0,5.3122855358554055,1,3,50157.976611148886,10.031595322229778,-1,0.0,74442.15886624884,0.0,0,2.019636676144017,4.0,covid crash,monthly,2020-02-03,2020-05-01
2.5,0.642653457921168,-0.8294281362641233,2.0118114145633674,-0.4122792674601351,-0.7088198623163477,-1.1701536319166348,38.99234884483879,-0.48123655982794866,51,False,monthly,682.6887428198374,0.0068268874281983746,0.0,46.61443807179399,2,3,34723.38562495817,6.944677124991634,-1,0.0,64265.3457921168,0.0,0,2.1990121514134167,4.0,covid crash,monthly,2020-02-03,2020-05-01
2.75,0.5713850465861887,-0.8934102405692163,2.1220652617507763,-0.42100978545406387,-0.7488929391149803,-1.1929745814201722,43.659668788013725,-0.5164322188407084,51,False,monthly,745.3294343760073,0.0074532943437600726,0.0,82.44859669842549,3,3,24855.5751419937,4.97111502839874,-1,0.0,57138.50465861887,0.0,0,2.3713305871080093,4.0,covid crash,monthly,2020-02-03,2020-05-01
3.0,0.530845031977437,-0.920590761908602,2.1928850007166862,-0.41980804356258145,-0.773609117922529,-1.1899947151357027,46.663641738332906,-0.5164369454115512,51,False,monthly,811.921074036217,0.008119210740362169,0.0,113.07717252326566,3,3,26353.033292937893,5.270606658587579,-1,0.0,53084.5031977437,0.0,0,2.537000409032372,4.000000000000001,covid crash,monthly,2020-02-03,2020-05-01
1.0,0.9120261382620213,-0.3081226062845769,0.6311487164925369,-0.48819335005051906,-0.3094754267514451,-0.9956286659620482,14.705013649462481,-0.15353688199036153,51,False,never,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,0.0,91202.61382620213,0.0,0,1.0,1.0,covid crash,never,2020-02-03,2020-05-01
1.25,0.8886264561979114,-0.37644185606168,0.8303347298209641,-0.45336156918649906,-0.3832131672225507,-0.9823301709334579,18.231461628375964,-0.19959025041578926,51,False,never,140.62166296148726,0.0014062166296148727,0.0,0.0,0,0,0.0,0.0,-1,0.0,88862.64561979113,0.0,0,1.2829155207749325,1.3842795340500778,covid crash,never,2020-02-03,2020-05-01
1.5,0.8652267741338024,-0.43957203231918063,1.0547495001134088,-0.41675490936181236,-0.4553704670853005,-0.9653064133314546,21.682353381049484,-0.24946640145376175,51,False,never,281.2433259229745,0.0028124332592297453,0.0,0.0,0,0,0.0,0.0,-1,0.0,86522.67741338024,0.0,0,1.5811336961487426,1.8610569263935268,covid crash,never,2020-02-03,2020-05-01
1.75,0.8418270920696937,-0.49778278750231364,1.3123811479846634,-0.37929742305939523,-0.5259975985963881,-0.9463594298351077,25.06008083788326,-0.3036619259183915,51,False,never,421.86498888446175,0.004218649888844617,0.0,0.0,0,0,0.0,0.0,-1,0.0,84182.70920696938,0.0,0,1.895930597855366,2.4682985046265093,covid crash,never,2020-02-03,2020-05-01
2.0,0.8184315113877111,-0.551327585111804,1.615857643557614,-0.3411981168699693,-0.5951414665082262,-0.926380728176304,28.366809386305775,-0.3627627303405683,51,False,never,562.0765136331638,0.0056207651363316385,0.0,0.0,0,0,0.0,0.0,-1,0.0,81843.1511387711,0.0,0,2.2287170656848576,3.2680314006260147,covid crash,never,2020-02-03,2020-05-01
2.25,0.761249287809966,-0.6641791957761927,1.9263621158532112,-0.34478418689313717,-0.6620740465175978,-1.0031796281241767,32.774401514187055,-0.42743674115995756,51,False,never,653.675148579283,0.00653675148579283,0.0,13.476682808089475,2,0,0.0,0.0,-1,0.0,76124.9287809966,0.0,0,2.473767802739862,4.0,covid crash,never,2020-02-03,2020-05-01
2.5,0.6344230120990111,-0.8379997405285913,2.0624934736874336,-0.4063041901559919,-0.7212574622403896,-1.1618593697811788,39.859573392140845,-0.4991231881560465,51,False,never,695.6291302188115,0.006956291302188115,0.0,57.239592164820884,2,0,0.0,0.0,-1,0.0,63442.30120990111,0.0,0,2.473989353699053,4.000000000000001,covid crash,never,2020-02-03,2020-05-01
2.75,0.5629189634829891,-0.8995884855667319,2.138017030273368,-0.42075833486308106,-0.7552023077887129,-1.1911887401414227,44.234253614078526,-0.5164335440675375,51,False,never,742.013756190502,0.00742013756190502,0.0,92.86121905832573,3,0,0.0,0.0,-1,0.0,56291.896348298906,0.0,0,2.4739893536990527,4.000000000000001,covid crash,never,2020-02-03,2020-05-01
3.0,0.5091445518720342,-0.9328007534412012,2.197400511495701,-0.4245019278739829,-0.7808280084788468,-1.1946302429115174,47.671582731510874,-0.5164388011904271,51,False,never,792.5938670361123,0.007925938670361123,0.0,125.87110007178251,4,0,0.0,0.0,-1,0.0,50914.45518720342,0.0,0,2.4739893536990536,4.0,covid crash,never,2020-02-03,2020-05-01
1.0,0.8954955088734082,-0.10489820163772456,0.22729046254243013,-0.4615160727130923,-0.22736185805416698,-0.46137114877348284,13.743294280824816,-0.041249358590088714,249,False,monthly,0.0,0.0,0.0,0.0,0,12,0.0,0.0,-1,0.0,89549.55088734083,0.0,0,1.0,1.0,2022 rate shock,monthly,2022-01-03,2022-12-30
1.25,0.8598956617619868,-0.14062129943491564,0.28602994127182174,-0.4916313963833581,-0.2824006949227057,-0.49794955169428423,17.323001783281224,-0.05157759054360722,249,False,monthly,687.4575586299623,0.0068745755862996225,0.0,0.0,0,12,14149.857887991151,2.82997157759823,-1,0.0,85989.56617619868,0.0,0,1.2603064006117073,1.290663660961142,2022 rate shock,monthly,2022-01-03,2022-12-30
1.5,0.824044745291186,-0.1765903793417254,0.34568890003478936,-0.5108361284494635,-0.3348656432538999,-0.5273469610850225,20.832483689396753,-0.06204695130147009,249,False,monthly,1322.9458041490104,0.013229458041490104,0.0,0.0,0,12,32913.095817669644,6.582619163533929,-1,0.0,82404.4745291186,0.0,0,1.524941003043315,1.6008743216799235,2022 rate shock,monthly,2022-01-03,2022-12-30
1.75,0.7880671011112512,-0.2126803352436778,0.40635125012968676,-0.523390380061095,-0.38477388033737425,-0.5527410931771075,24.267851034949203,-0.0730403471288098,249,False,monthly,1907.289907429059,0.01907289907429059,0.0,0.0,0,12,55792.53155137708,11.158506310275415,-1,0.0,78806.71011112512,0.0,0,1.7940126619711907,1.9326723804283201,2022 rate shock,monthly,2022-01-03,2022-12-30
2.0,0.7520834942209667,-0.2487697049350771,0.4681086562007761,-0.5314358143985646,-0.4321510406972735,-0.5756545316509905,27.625896765236558,-0.08422852326743357,249,False,monthly,2441.4667912595028,0.02441466791259503,0.0,0.0,0,12,82308.53822337279,16.461707644674558,-1,0.0,75208.34942209667,0.0,0,2.0676339132055674,2.2883924532098994,2022 rate shock,monthly,2022-01-03,2022-12-30
2.25,0.7163944742995604,-0.2845568257216634,0.5310527653178133,-0.5358353148794316,-0.47690152744887093,-0.5966783693142418,30.889345673912832,-0.09561670264546873,249,False,monthly,2905.60437484635,0.0290560437484635,0.0,0.0,0,12,111973.96467266689,22.394792934533378,-1,0.0,71639.44742995604,0.0,0,2.3459211306232226,2.6707183883419776,2022 rate shock,monthly,2022-01-03,2022-12-30
2.5,0.6811469153551596,-0.31989429968359473,0.5952922144522114,-0.5373735653135694,-0.5190801769157719,-0.616271462309188,34.05834114850001,-0.1072028882566145,249,False,monthly,3298.608864939048,0.03298608864939048,0.0,0.0,0,12,144374.23223373914,28.874846446747828,-1,0.0,68114.69153551596,0.0,0,2.6288365989878457,3.08267882674621,2022 rate shock,monthly,2022-01-03,2022-12-30
